trial_id,rmse,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/mf_dim,config/mlp_layers,config/dropout,config/lr,config/weight_decay,config/batch_size
d6172_00026,0.8757026922653858,1733930059,,True,1,2024-12-11_16-14-19,310.9731957912445,310.9731957912445,4076644,das8gpu6,10.36.97.83,310.9731957912445,1,"26_batch_size=2048,dropout=0.2000,lr=0.0050,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.2,0.005,0.001,2048
d6172_00027,0.8886803887055595,1733929964,,True,1,2024-12-11_16-12-44,215.8745629787445,215.8745629787445,4076648,das8gpu6,10.36.97.83,215.8745629787445,1,"27_batch_size=4096,dropout=0.2000,lr=0.0050,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.2,0.005,0.001,4096
d6172_00028,0.8970104783822646,1733929833,,True,1,2024-12-11_16-10-33,82.30703258514404,82.30703258514404,4076658,das8gpu6,10.36.97.83,82.30703258514404,1,"28_batch_size=512,dropout=0.2500,lr=0.0050,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.25,0.005,0.001,512
d6172_00029,0.8884282414476878,1733929935,,True,1,2024-12-11_16-12-15,183.42432713508606,183.42432713508606,4076665,das8gpu6,10.36.97.83,183.42432713508606,1,"29_batch_size=1024,dropout=0.2500,lr=0.0050,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.25,0.005,0.001,1024
d6172_00030,0.8824656026008099,1733930019,,True,1,2024-12-11_16-13-39,268.9778015613556,268.9778015613556,4076654,das8gpu6,10.36.97.83,268.9778015613556,1,"30_batch_size=2048,dropout=0.2500,lr=0.0050,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.25,0.005,0.001,2048
d6172_00031,0.880357954172782,1733930130,,True,1,2024-12-11_16-15-30,381.3668348789215,381.3668348789215,4076661,das8gpu6,10.36.97.83,381.3668348789215,1,"31_batch_size=4096,dropout=0.2500,lr=0.0050,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.25,0.005,0.001,4096
d6172_00032,0.8751935918924145,1733930130,,True,1,2024-12-11_16-15-30,378.395555973053,378.395555973053,4076652,das8gpu6,10.36.97.83,378.395555973053,1,"32_batch_size=512,dropout=0.1000,lr=0.0010,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.1,0.001,0.001,512
d6172_00033,0.8704438663248555,1733930040,,True,1,2024-12-11_16-14-00,288.1911027431488,288.1911027431488,4076666,das8gpu6,10.36.97.83,288.1911027431488,1,"33_batch_size=1024,dropout=0.1000,lr=0.0010,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.1,0.001,0.001,1024
d6172_00034,0.8562093061072167,1733930086,,True,1,2024-12-11_16-14-46,336.53479385375977,336.53479385375977,4076675,das8gpu6,10.36.97.83,336.53479385375977,1,"34_batch_size=2048,dropout=0.1000,lr=0.0010,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.1,0.001,0.001,2048
d6172_00035,0.881893060834975,1733930729,,True,1,2024-12-11_16-25-29,977.7376484870911,977.7376484870911,4076700,das8gpu6,10.36.97.83,977.7376484870911,1,"35_batch_size=4096,dropout=0.1000,lr=0.0010,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.1,0.001,0.001,4096
d6172_00036,0.880577310988457,1733929970,,True,1,2024-12-11_16-12-50,221.3255753517151,221.3255753517151,4076674,das8gpu6,10.36.97.83,221.3255753517151,1,"36_batch_size=512,dropout=0.1500,lr=0.0010,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.15,0.001,0.001,512
d6172_00037,0.8800156846851901,1733930261,,True,1,2024-12-11_16-17-41,512.3754594326019,512.3754594326019,4076684,das8gpu6,10.36.97.83,512.3754594326019,1,"37_batch_size=1024,dropout=0.1500,lr=0.0010,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.15,0.001,0.001,1024
d6172_00038,0.876562177564496,1733930007,,True,1,2024-12-11_16-13-27,255.42825865745544,255.42825865745544,4076676,das8gpu6,10.36.97.83,255.42825865745544,1,"38_batch_size=2048,dropout=0.1500,lr=0.0010,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.15,0.001,0.001,2048
d6172_00039,0.8782434398898143,1733930249,,True,1,2024-12-11_16-17-29,500.32651829719543,500.32651829719543,4076683,das8gpu6,10.36.97.83,500.32651829719543,1,"39_batch_size=4096,dropout=0.1500,lr=0.0010,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.15,0.001,0.001,4096
d6172_00040,0.879891543730379,1733930016,,True,1,2024-12-11_16-13-36,266.03687953948975,266.03687953948975,4076688,das8gpu6,10.36.97.83,266.03687953948975,1,"40_batch_size=512,dropout=0.2000,lr=0.0010,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.2,0.001,0.001,512
d6172_00041,0.8820899710927451,1733930017,,True,1,2024-12-11_16-13-37,265.5816991329193,265.5816991329193,4076692,das8gpu6,10.36.97.83,265.5816991329193,1,"41_batch_size=1024,dropout=0.2000,lr=0.0010,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.2,0.001,0.001,1024
d6172_00042,0.875503107539898,1733930013,,True,1,2024-12-11_16-13-33,260.9004535675049,260.9004535675049,4076694,das8gpu6,10.36.97.83,260.9004535675049,1,"42_batch_size=2048,dropout=0.2000,lr=0.0010,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.2,0.001,0.001,2048
d6172_00043,0.8745480353297203,1733930129,,True,1,2024-12-11_16-15-29,378.1289358139038,378.1289358139038,4076704,das8gpu6,10.36.97.83,378.1289358139038,1,"43_batch_size=4096,dropout=0.2000,lr=0.0010,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.2,0.001,0.001,4096
