,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_lr_all,param_reg_all
40,0.8925864626440829,0.89844196937433,0.8824794374100403,0.8895520502997749,0.8898777826444196,0.8905875404745295,0.005157617173962166,16,0.6820256211343865,0.6838972737155404,0.6722334827930316,0.6841297791143364,0.680613442112656,0.6805799197739901,0.004367162121046477,16,0.7043753623962402,0.053731334470662265,0.09500937461853028,0.021807305412326936,"{'n_factors': 2, 'n_epochs': 90, 'lr_all': 0.005, 'reg_all': 0.1}",2,90,0.005,0.1
41,0.8924613263918607,0.8980910151705074,0.8820724037299607,0.8893260547344156,0.8896295396495693,0.8903160679352627,0.005185776414600442,5,0.6823838771845645,0.6848346871429694,0.6726003840261017,0.684604638390614,0.6811510731849476,0.6811149319858394,0.004474900764996568,26,0.7087296485900879,0.05458499826515762,0.13896260261535645,0.03833533419509213,"{'n_factors': 2, 'n_epochs': 90, 'lr_all': 0.005, 'reg_all': 0.12}",2,90,0.005,0.12
42,0.8977194721449113,0.9046128327882932,0.8875419268872472,0.8969207220802039,0.8951855169648365,0.8963960941730985,0.005466317456398365,127,0.684293845802572,0.6868065020999331,0.674660834611917,0.687376187992192,0.682463607412293,0.6831201955837815,0.004584139570885264,79,0.869561767578125,0.03705095467898411,0.14469594955444337,0.008942219980050025,"{'n_factors': 2, 'n_epochs': 90, 'lr_all': 0.0075, 'reg_all': 0.08}",2,90,0.0075,0.08
43,0.895535416653752,0.902673179232872,0.8873089629500097,0.8940259255736848,0.893173138833423,0.8945433246487482,0.004930717640769168,91,0.6833970366705087,0.6867988384828794,0.6756114689669884,0.6868003518289413,0.6821012359925113,0.6829417863883658,0.004108837047255731,73,0.8677815914154052,0.031561403231514275,0.15303306579589843,0.02416064275945802,"{'n_factors': 2, 'n_epochs': 90, 'lr_all': 0.0075, 'reg_all': 0.1}",2,90,0.0075,0.1
44,0.8948747934858918,0.9013394369450693,0.884809204390848,0.8922146898845055,0.892106356569089,0.8930688962550807,0.005320559537787765,63,0.6839366302617002,0.6864424499064689,0.6742789113316824,0.6862207527181324,0.6819400627479889,0.6825637613931945,0.004457136291511811,67,0.9247468948364258,0.014226395757810529,0.13201122283935546,0.017088878210233832,"{'n_factors': 2, 'n_epochs': 90, 'lr_all': 0.0075, 'reg_all': 0.12}",2,90,0.0075,0.12
45,0.8962446955704733,0.9011616035170589,0.884938362182283,0.8920991614726248,0.8929714332553774,0.8934830511995635,0.00532494994198191,68,0.6847391713816365,0.6865896576419139,0.673945281218588,0.6860647534427695,0.6835629166536596,0.6829803560677135,0.004639093676460234,75,1.0549741744995118,0.034348463134244105,0.1235396385192871,0.022208664270283986,"{'n_factors': 2, 'n_epochs': 100, 'lr_all': 0.0025, 'reg_all': 0.08}",2,100,0.0025,0.08
46,0.8967369181363738,0.9014449982562155,0.885064827227991,0.8925950849504571,0.8933796280728877,0.893844291328785,0.0053850432506868245,77,0.6857849409913463,0.6874934122239951,0.6749765083128726,0.6871243785611704,0.6845900692434715,0.6839938618665712,0.00462435033835427,95,0.9599337577819824,0.05109009769374956,0.1388021945953369,0.014198664709015221,"{'n_factors': 2, 'n_epochs': 100, 'lr_all': 0.0025, 'reg_all': 0.1}",2,100,0.0025,0.1
47,0.896961283485109,0.9016300643795108,0.8853476937757225,0.8929037877615205,0.893806426612649,0.8941298512029023,0.005347977759245742,81,0.6867393294829784,0.6883964208482347,0.6757855711876539,0.6882178266682967,0.6857511453614511,0.6849780587097231,0.004698571286819233,113,0.8438605308532715,0.03374738770348214,0.1118804931640625,0.011480001616402905,"{'n_factors': 2, 'n_epochs': 100, 'lr_all': 0.0025, 'reg_all': 0.12}",2,100,0.0025,0.12
48,0.8930668017978909,0.899846583615091,0.8829569964682337,0.8913244865226142,0.890629986997975,0.891564971080361,0.005401293486922761,42,0.6809298271882409,0.6843834709964206,0.671322060438624,0.6844758797434131,0.6796523671492325,0.6801527211031863,0.0048046594261609,7,0.7753175258636474,0.0507426566594502,0.09403829574584961,0.011495959788815794,"{'n_factors': 2, 'n_epochs': 100, 'lr_all': 0.005, 'reg_all': 0.08}",2,100,0.005,0.08
49,0.8929074722401105,0.8991678487332884,0.882978933848934,0.8900866600464618,0.8901543015840888,0.8910590432905767,0.005219610533498499,29,0.6819981573353927,0.6846403568628014,0.6722468452385469,0.6844476584385565,0.6806188041402423,0.680790364403108,0.004531625712869874,21,0.7406038284301758,0.026478493402696056,0.1045454502105713,0.009186615292067395,"{'n_factors': 2, 'n_epochs': 100, 'lr_all': 0.005, 'reg_all': 0.1}",2,100,0.005,0.1
50,0.8925990828641944,0.8983713270811338,0.8825795561742061,0.8898166417924541,0.8902718048670202,0.8907276825558016,0.005086398018518695,21,0.682644516031795,0.6847513726617562,0.6731107873787553,0.6849850635641848,0.6817403821236462,0.6814464243520275,0.004346247333012734,38,0.7481409549713135,0.02937509579755699,0.1161196231842041,0.040738036113301,"{'n_factors': 2, 'n_epochs': 100, 'lr_all': 0.005, 'reg_all': 0.12}",2,100,0.005,0.12
51,0.9001913106906617,0.9065502896443154,0.8914668085051515,0.8989089801378658,0.8982505954196849,0.8990735968795359,0.004810777033072981,158,0.6863575428085157,0.6887238957204072,0.6782280972870013,0.6892571128265829,0.6848131375616294,0.6854759572408272,0.003964700212661463,122,0.7452516078948974,0.05305648333482002,0.09169554710388184,0.016446988216484704,"{'n_factors': 2, 'n_epochs': 100, 'lr_all': 0.0075, 'reg_all': 0.08}",2,100,0.0075,0.08
52,0.8971763288185564,0.9044328711422353,0.8877268864418525,0.8961563630208482,0.8957435376689894,0.8962471974184965,0.005305208056992191,123,0.6846763508001442,0.6869547419502516,0.6758844891947662,0.6883528116293979,0.6840023635562744,0.6839741514261669,0.004335737537048872,94,0.7502293109893798,0.048455814680168637,0.11157026290893554,0.013064689214281727,"{'n_factors': 2, 'n_epochs': 100, 'lr_all': 0.0075, 'reg_all': 0.1}",2,100,0.0075,0.1
53,0.8953187692994907,0.9031016131793408,0.8871938313896187,0.8944046101546381,0.8932449891826942,0.8946527626411566,0.005089316289396947,92,0.6839970715840283,0.687442154338055,0.6762306977476318,0.6876202946988691,0.6826742076671971,0.6835928852071562,0.004153216567791341,86,0.7264834403991699,0.048218418751686525,0.11291136741638183,0.015197385919863401,"{'n_factors': 2, 'n_epochs': 100, 'lr_all': 0.0075, 'reg_all': 0.12}",2,100,0.0075,0.12
54,0.9007218473323275,0.9047454872416866,0.8886854451496252,0.8961623476811482,0.8974487130914757,0.8975527680992526,0.005335762073484092,136,0.6882410902743172,0.6897353933482996,0.6775598455984925,0.6898203393616656,0.6876979323046581,0.6866109201774867,0.004600515298064755,140,0.6057815074920654,0.03371461285004334,0.09707860946655274,0.011260927072027645,"{'n_factors': 3, 'n_epochs': 80, 'lr_all': 0.0025, 'reg_all': 0.08}",3,80,0.0025,0.08
55,0.9013352840735126,0.9052239927603873,0.8887740153145084,0.8962292769373704,0.8977017450765474,0.8978528628324651,0.0055053638227391,141,0.6897168503707398,0.6908438700800881,0.6781896047089374,0.6904614208036025,0.6886108559585518,0.6875645203843839,0.004748948365506881,152,0.614945650100708,0.02374883769252378,0.10030512809753418,0.015221867557868154,"{'n_factors': 3, 'n_epochs': 80, 'lr_all': 0.0025, 'reg_all': 0.1}",3,80,0.0025,0.1
56,0.9016040716410918,0.9054502775263216,0.8893438423961993,0.8966520700060987,0.8984493608330948,0.8982999244805612,0.0053850552277901285,148,0.6904974699167911,0.6918633324744525,0.6794716693001596,0.6913642721660868,0.6899234864798136,0.6886240460674606,0.004625280062725774,159,0.6079562187194825,0.023897704894712917,0.1258406162261963,0.02373771440458476,"{'n_factors': 3, 'n_epochs': 80, 'lr_all': 0.0025, 'reg_all': 0.12}",3,80,0.0025,0.12
57,0.8923752710159294,0.8985490417447929,0.8822265859331158,0.8899327628441164,0.8899224087334648,0.8906012140542838,0.0052413212638225334,17,0.6810387289287642,0.6836140306744541,0.6715904807707085,0.6836530094207321,0.6799011547810764,0.6799594809151471,0.004431844500774954,6,0.6298527240753173,0.03906660694587664,0.11673321723937988,0.015040787139612134,"{'n_factors': 3, 'n_epochs': 80, 'lr_all': 0.005, 'reg_all': 0.08}",3,80,0.005,0.08
58,0.8925238651380932,0.8981631862156144,0.882083331767181,0.8899881194286913,0.8898052662922664,0.8905127537683694,0.005184681679035325,15,0.6819457028899539,0.6842076370745735,0.6719351864860648,0.6844107241402284,0.6807591699365485,0.6806516841054738,0.0045703074747541865,17,0.6620307445526123,0.030147160572025742,0.10240964889526367,0.023991779856452233,"{'n_factors': 3, 'n_epochs': 80, 'lr_all': 0.005, 'reg_all': 0.1}",3,80,0.005,0.1
